layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,correct_location,total_tokens,experiment
12,4,0.0009979605674743652,0.29092806577682495,0.0009980058361554929,291.5226064624022,example_0000,natural,front,4096,competition_sweep
12,5,0.00020045042037963867,0.20401549339294434,0.0002004376370744902,1017.7853107344632,example_0000,natural,front,4096,competition_sweep
12,6,1.329183578491211e-05,0.1871095895767212,1.329047641411265e-05,14077.031390134529,example_0000,natural,front,4096,competition_sweep
12,7,7.730722427368164e-05,0.1716805100440979,7.730609996984049e-05,2220.756360832691,example_0000,natural,front,4096,competition_sweep
12,8,5.125999450683594e-06,0.17847394943237305,5.125326754479804e-06,34817.395348837206,example_0000,natural,front,4096,competition_sweep
12,9,2.5570392608642578e-05,0.24445021152496338,2.557034383708222e-05,9559.892773892774,example_0000,natural,front,4096,competition_sweep
12,10,0.0005023479461669922,0.3430182933807373,0.000502355012642323,682.8300901756052,example_0000,natural,front,4096,competition_sweep
12,11,5.060434341430664e-05,0.30083030462265015,5.059968674681562e-05,5944.752650176679,example_0000,natural,front,4096,competition_sweep
12,12,3.0994415283203125e-06,0.4509395360946655,3.0995680811485997e-06,145490.57692307694,example_0000,natural,front,4096,competition_sweep
12,13,0.0006335973739624023,0.15482598543167114,0.0006335778876429782,244.36020696142992,example_0000,natural,front,4096,competition_sweep
13,0,0.0017364025115966797,0.010135412216186523,0.0017363184755681657,5.837017712481121,example_0000,natural,front,4096,competition_sweep
13,1,0.00023490190505981445,0.20546436309814453,0.00023491797958854243,874.681552905354,example_0000,natural,front,4096,competition_sweep
13,2,0.00012302398681640625,0.7514545321464539,0.00012301430828053176,6108.195251937985,example_0000,natural,front,4096,competition_sweep
13,3,1.430511474609375e-05,0.10688644647598267,1.4305408916835564e-05,7471.904166666666,example_0000,natural,front,4096,competition_sweep
13,4,4.351139068603516e-06,0.1183050274848938,4.351286123945253e-06,27189.438356164384,example_0000,natural,front,4096,competition_sweep
13,5,0.00015687942504882812,0.6737968921661377,0.00015691271140217067,4294.998480243161,example_0000,natural,front,4096,competition_sweep
13,6,0.005784392356872559,0.23257815837860107,0.005784734395535014,40.207880798796445,example_0000,natural,front,4096,competition_sweep
13,7,0.012622833251953125,0.8098004460334778,0.012621075938141853,64.15361986249623,example_0000,natural,front,4096,competition_sweep
13,8,0.00520092248916626,0.986117422580719,0.005199837718485909,189.60432973858832,example_0000,natural,front,4096,competition_sweep
13,9,0.00017899274826049805,0.8782919645309448,0.00017901850644794497,4906.857808857809,example_0000,natural,front,4096,competition_sweep
13,10,0.0004476308822631836,0.5519958734512329,0.0004475332515418146,1233.1496671105192,example_0000,natural,front,4096,competition_sweep
13,11,0.0010623931884765625,0.6065958738327026,0.001062503002894343,570.9711624775583,example_0000,natural,front,4096,competition_sweep
13,12,9.739398956298828e-05,0.9375495314598083,9.73979778534642e-05,9626.35924112607,example_0000,natural,front,4096,competition_sweep
13,13,0.11452919244766235,0.2666946053504944,0.11451216975740343,2.328616832536986,example_0000,natural,front,4096,competition_sweep
14,0,0.0033011436462402344,0.439358115196228,0.003301020083390929,133.0926982522028,example_0000,natural,front,4096,competition_sweep
14,1,8.130073547363281e-05,0.12204718589782715,8.131051083209207e-05,1501.1818181818182,example_0000,natural,front,4096,competition_sweep
14,2,0.0002397298812866211,0.36475443840026855,0.00023970730676980636,1521.5226255594232,example_0000,natural,front,4096,competition_sweep
14,3,0.011513113975524902,0.4070531725883484,0.011514516810915561,35.35561043290985,example_0000,natural,front,4096,competition_sweep
14,4,4.500150680541992e-05,0.34096217155456543,4.5003089417383446e-05,7576.683443708609,example_0000,natural,front,4096,competition_sweep
14,5,0.02764648199081421,0.08741110563278198,0.02764644903367873,3.1617442559897895,example_0000,natural,front,4096,competition_sweep
14,6,0.00023502111434936523,0.4276171922683716,0.0002350431935830764,1819.4841491250318,example_0000,natural,front,4096,competition_sweep
14,7,0.00023031234741210938,0.4391324520111084,0.00023035539174992656,1906.6821946169773,example_0000,natural,front,4096,competition_sweep
14,8,0.012594819068908691,0.3660697340965271,0.012595855884371777,29.065104634984337,example_0000,natural,front,4096,competition_sweep
14,9,0.2737668752670288,0.2626027464866638,0.273765504580594,0.9592203082660178,example_0000,natural,front,4096,competition_sweep
14,10,3.159046173095703e-06,0.0928235650062561,3.1586101447883053e-06,29383.415094339623,example_0000,natural,front,4096,competition_sweep
14,11,0.008788228034973145,0.6952758431434631,0.008788996544953074,79.11445178443049,example_0000,natural,front,4096,competition_sweep
14,12,0.0162045955657959,0.6532390713691711,0.016206200033322297,40.311963894242794,example_0000,natural,front,4096,competition_sweep
14,13,0.014579415321350098,0.6427740454673767,0.014575599668398881,44.087779331321904,example_0000,natural,front,4096,competition_sweep
15,0,2.5033950805664062e-06,0.05735504627227783,2.5034064208798403e-06,22910.904761904763,example_0000,natural,front,4096,competition_sweep
15,1,0.0008059144020080566,0.2950900197029114,0.0008058419698661234,366.15553583314846,example_0000,natural,front,4096,competition_sweep
15,2,1.7881393432617188e-06,0.20351099967956543,1.7882641588050103e-06,113811.6,example_0000,natural,front,4096,competition_sweep
15,3,0.00016021728515625,0.3730788826942444,0.00016025628604983934,2328.5807291666665,example_0000,natural,front,4096,competition_sweep
15,4,8.83340835571289e-05,0.5997378826141357,8.835981643576056e-05,6789.427800269906,example_0000,natural,front,4096,competition_sweep
15,5,0.004667103290557861,0.6174723505973816,0.00466732751524313,132.30312511973028,example_0000,natural,front,4096,competition_sweep
